date,open,high,low,close,volume,sma_short,sma_long,ema,rsi,bband
2023-06-01,177.7,180.12,176.9306,180.09,68901809.0,173.7753,171.2382,171.2382,61.4018,61.4018
2023-06-02,181.03,181.78,179.26,180.95,61996913.0,174.3608,171.7454,171.7454,61.7953,61.7953
2023-06-05,182.63,184.951,178.035,179.58,121946497.0,174.7995,172.1477,172.1477,60.7879,60.7879
2023-06-06,179.965,180.12,177.43,179.21,64848374.0,175.2968,172.539,172.539,60.516,60.516
2023-06-07,178.44,181.21,177.32,177.82,61944615.0,175.9181,172.9167,172.9167,59.4959,59.4959
2023-06-08,177.895,180.84,177.46,180.57,50214881.0,176.7846,173.4468,173.4468,60.8289,60.8289
2023-06-09,181.5,182.23,180.63,180.96,48899973.0,177.5756,174.0582,174.0582,61.0146,61.0146
2023-06-12,181.27,183.89,180.97,183.79,54754995.0,178.4053,174.4735,174.4735,62.3365,62.3365
2023-06-13,182.8,184.15,182.44,183.31,54929129.0,179.0018,174.8725,174.8725,61.9728,61.9728
2023-06-14,183.37,184.39,182.02,183.95,57462882.0,179.6668,175.3656,175.3656,62.2722,62.2722
2023-06-15,183.96,186.52,183.78,186.01,65433166.0,180.2544,175.8696,175.8696,63.2235,63.2235
2023-06-16,186.73,186.99,184.27,184.92,101256225.0,180.6484,176.3226,176.3226,62.3744,62.3744
2023-06-20,184.41,186.1,184.41,185.01,49799092.0,181.1873,176.8165,176.8165,62.4169,62.4169
2023-06-21,184.9,185.41,182.5901,183.96,49515697.0,181.6588,177.2885,177.2885,61.5882,61.5882
2023-06-22,183.74,187.045,183.67,187.0,51245327.0,182.5699,177.8813,177.8813,63.038,63.038
2023-06-23,185.55,187.56,185.01,186.68,53116996.0,183.1763,178.4367,178.4367,62.7835,62.7835
2023-06-26,186.83,188.05,185.23,185.27,48088661.0,183.6041,178.8424,178.8424,61.664,61.664
2023-06-27,185.89,188.39,185.67,188.06,50730846.0,184.0279,179.3546,179.3546,62.9962,62.9962
2023-06-28,187.93,189.9,187.6,189.25,51216801.0,184.6174,179.952,179.952,63.5476,63.5476
2023-06-29,189.08,190.07,188.94,189.59,46347308.0,185.1772,180.6678,180.6678,63.7052,63.7052
2023-06-30,191.63,194.48,191.26,193.97,85213216.0,185.9672,181.5464,181.5464,65.6577,65.6577
2023-07-03,193.78,193.88,191.76,192.46,31458198.0,186.7156,182.3194,182.3194,64.4383,64.4383
2023-07-05,191.565,192.98,190.62,191.33,46920261.0,187.3429,182.9506,182.9506,63.5371,63.5371
2023-07-06,189.84,192.02,189.2,191.81,45156009.0,188.122,183.5267,183.5267,63.7568,63.7568
2023-07-07,191.41,192.67,190.24,190.68,46814998.0,188.4872,184.0598,184.0598,62.8472,62.8472
2023-07-10,189.26,189.99,187.035,188.61,59922163.0,188.6788,184.3981,184.3981,61.2147,61.2147
2023-07-11,189.16,189.3,186.6,188.08,46638119.0,188.9577,184.6811,184.6811,60.8021,60.8021
2023-07-12,189.68,191.7,188.47,189.77,60750248.0,189.1274,185.0857,185.0857,61.6434,61.6434
2023-07-13,190.5,191.19,189.78,190.54,41342338.0,189.2554,185.5355,185.5355,62.0223,62.0223
2023-07-14,190.23,191.1799,189.63,190.69,41616242.0,189.3646,186.0464,186.0464,62.0967,62.0967
2023-07-17,191.9,194.32,191.81,193.99,50520159.0,189.3666,186.5792,186.5792,63.6942,63.6942
2023-07-18,193.35,194.33,192.415,193.73,48353774.0,189.4926,187.0862,187.0862,63.4791,63.4791
2023-07-19,193.1,198.23,192.65,195.1,80507323.0,189.8668,187.5352,187.5352,64.1304,64.1304
2023-07-20,195.09,196.47,192.495,193.13,59581196.0,189.9978,187.9251,187.9251,62.4951,62.4951
2023-07-21,194.1,194.97,191.23,191.94,71951683.0,190.1229,188.2423,188.2423,61.5281,61.5281
2023-07-24,193.41,194.91,192.25,192.75,45505097.0,190.5338,188.5098,188.5098,61.9372,61.9372
2023-07-25,193.33,194.44,192.915,193.62,37283201.0,191.0836,188.8552,188.8552,62.3756,62.3756
2023-07-26,193.67,195.64,193.32,194.5,47471868.0,191.5531,189.232,189.232,62.8177,62.8177
2023-07-27,196.02,197.2,192.55,193.22,47460180.0,191.8191,189.5996,189.5996,61.741,61.741
2023-07-28,194.67,196.626,194.14,195.83,48291443.0,192.3292,189.9502,189.9502,63.0585,63.0585
2023-07-31,196.06,196.49,195.26,196.45,38824113.0,192.5734,190.338,190.338,63.3643,63.3643
2023-08-01,196.235,196.73,195.28,195.605,35281426.0,192.7595,190.7483,190.7483,62.6431,62.6431
2023-08-02,195.04,195.18,191.8507,192.58,50389327.0,192.5094,190.9278,190.9278,60.1425,60.1425
2023-08-03,191.57,192.37,190.69,191.17,62243282.0,192.3148,191.004,191.004,59.022,59.022
2023-08-04,185.52,187.38,181.92,181.99,115956841.0,191.3273,190.7023,190.7023,52.5208,52.5208
2023-08-07,182.13,183.13,177.35,178.85,97576069.0,189.9477,190.102,190.102,50.5764,50.5764
2023-08-08,179.69,180.27,177.58,179.8,67823003.0,188.576,189.5994,189.5994,51.1349,51.1349
2023-08-09,180.87,180.93,177.01,178.19,60378492.0,186.9573,189.0778,189.0778,50.1547,50.1547
2023-08-10,179.48,180.75,177.6,177.97,54686851.0,185.4437,188.5283,188.5283,50.0211,50.0211
2023-08-11,177.32,178.62,176.55,177.79,52036672.0,183.677,188.0261,188.0261,50.0581,50.0581
2023-08-14,177.97,179.69,177.305,179.46,43675627.0,182.0148,187.6725,187.6725,51.0892,51.0892
2023-08-15,178.88,179.48,177.05,177.45,43622593.0,180.2367,187.26,187.26,49.8258,49.8258
2023-08-16,177.13,178.54,176.5,176.57,46964857.0,178.6713,186.7454,186.7454,49.2814,49.2814
2023-08-17,177.14,177.5054,173.48,174.0,66062882.0,176.9905,186.0981,186.0981,47.7273,47.7273
2023-08-18,172.3,175.1,171.96,174.49,61172150.0,176.2695,185.4643,185.4643,48.046,48.046
2023-08-21,175.07,176.13,173.735,175.84,46311879.0,175.9943,184.7531,184.7531,48.9217,48.9217
2023-08-22,177.06,177.68,176.25,177.23,42084245.0,175.763,184.1076,184.1076,49.8104,49.8104
2023-08-23,178.52,181.55,178.325,181.12,52722752.0,176.0781,183.5623,183.5623,52.1861,52.1861
2023-08-24,180.674,181.104,176.01,176.38,54945798.0,175.9439,182.9067,182.9067,49.2854,49.2854
2023-08-25,177.38,179.15,175.82,178.61,51449594.0,176.0254,182.3871,182.3871,50.6035,50.6035
2023-08-28,180.09,180.59,178.545,180.19,43820697.0,176.0979,181.8981,181.8981,51.5146,51.5146
2023-08-29,179.695,184.9,179.5,184.12,53003948.0,176.7608,181.5308,181.5308,53.6828,53.6828
2023-08-30,184.94,187.85,184.74,187.65,60813888.0,177.862,181.2689,181.2689,55.5065,55.5065
2023-08-31,187.84,189.12,187.48,187.87,60794467.0,179.2405,181.0666,181.0666,55.6176,55.6176
2023-09-01,189.485,189.92,188.28,189.46,45766503.0,180.7283,180.8239,180.8239,56.4204,56.4204
2023-09-05,188.28,189.98,187.61,189.7,45280027.0,182.1057,180.5661,180.5661,56.5414,56.5414
2023-09-06,188.4,188.85,181.47,182.91,81755816.0,182.6702,180.0719,180.0719,52.3435,52.3435
2023-09-07,175.18,178.21,173.54,177.56,112488803.0,182.3164,179.4851,179.4851,49.3949,49.3949
2023-09-08,178.35,180.239,177.79,178.18,65602066.0,182.4953,178.9789,178.9789,49.7298,49.7298
2023-09-11,180.07,180.3,177.34,179.36,58953052.0,182.5699,178.8841,178.8841,50.3676,50.3676
2023-09-12,179.49,180.13,174.82,176.3,90370192.0,182.1833,178.7923,178.7923,48.7315,48.7315
2023-09-13,176.51,177.3,173.98,174.21,84267928.0,181.1983,178.5798,178.5798,47.6526,47.6526
2023-09-14,174.0,176.1,173.58,175.74,60895757.0,180.0147,178.4919,178.4919,48.5042,48.5042
2023-09-15,176.48,176.495,173.82,175.01,109259461.0,178.7366,178.3838,178.3838,48.1231,48.1231
2023-09-18,176.48,179.38,176.17,177.97,67257573.0,177.5947,178.3909,178.3909,49.7567,49.7567
2023-09-19,177.52,179.63,177.13,179.07,51826941.0,176.5382,178.3754,178.3754,50.3495,50.3495
2023-09-20,179.26,179.695,175.4,175.49,58436181.0,175.8008,178.2975,178.2975,48.4509,48.4509
2023-09-21,174.55,176.3,173.86,173.93,63149116.0,175.44,178.1926,178.1926,47.6519,47.6519
2023-09-22,174.67,177.079,174.05,174.79,56725385.0,175.1031,178.224,178.224,48.133,48.133
2023-09-25,174.2,176.97,174.15,176.08,46172740.0,174.7771,178.2872,178.2872,48.8526,48.8526
2023-09-26,174.82,175.2,171.66,171.96,64588945.0,174.3458,178.1329,178.1329,46.7394,46.7394
2023-09-27,172.62,173.04,169.05,170.43,66921808.0,173.9701,177.8626,177.8626,45.9856,45.9856
2023-09-28,169.34,172.03,167.62,170.69,56294419.0,173.4682,177.448,177.448,46.1362,46.1362
2023-09-29,172.02,173.07,170.341,171.21,51861083.0,173.0905,177.2424,177.2424,46.441,46.441
2023-10-02,171.22,174.3,170.93,173.75,52164535.0,172.6711,177.0492,177.0492,47.9103,47.9103
2023-10-03,172.255,173.63,170.82,172.4,49594613.0,172.0082,176.7396,176.7396,47.2079,47.2079
2023-10-04,171.09,174.21,170.97,173.66,53020286.0,171.8264,176.3237,176.3237,47.9349,47.9349
2023-10-05,173.79,175.45,172.68,174.91,48527918.0,171.9238,175.8173,175.8173,48.6506,48.6506
2023-10-06,173.8,177.99,173.18,177.49,57266675.0,172.1921,175.4046,175.4046,50.0956,50.0956
2023-10-09,176.81,179.05,175.8,178.99,42390772.0,172.4813,174.9884,174.9884,50.915,50.915
2023-10-10,178.1,179.72,177.95,178.39,43698019.0,173.1204,174.5388,174.5388,50.576,50.576
2023-10-11,178.2,179.85,177.6,179.8,47551098.0,174.0516,174.4151,174.4151,51.3526,51.3526
2023-10-12,180.07,182.34,179.04,180.71,56743119.0,175.0474,174.5404,174.5404,51.8509,51.8509
2023-10-13,181.42,181.93,178.14,178.85,51456082.0,175.8067,174.567,174.567,50.7664,50.7664
2023-10-16,176.75,179.075,176.51,178.72,52516984.0,176.3007,174.5416,174.5416,50.6908,50.6908
2023-10-17,176.645,178.42,174.8,177.15,57549350.0,176.7727,174.5753,174.5753,49.7772,49.7772
2023-10-18,175.58,177.575,175.11,175.84,54764375.0,176.9894,174.6401,174.6401,49.0249,49.0249
2023-10-19,176.04,177.84,175.19,175.46,59302863.0,177.0441,174.629,174.629,48.8065,48.8065
2023-10-20,175.31,175.42,172.64,172.88,64244028.0,176.5859,174.5443,174.5443,47.3456,47.3456
2023-10-23,170.91,174.01,169.93,173.0,55980109.0,175.9906,174.3468,174.3468,47.4203,47.4203
2023-10-24,173.05,173.67,171.45,173.44,43816644.0,175.4986,174.1229,174.1229,47.6979,47.6979
2023-10-25,171.88,173.06,170.65,171.1,57156962.0,174.634,173.9484,173.9484,46.3694,46.3694
2023-10-26,170.37,171.3775,165.67,166.89,70625258.0,173.2605,173.6686,173.6686,44.1137,44.1137
2023-10-27,166.91,168.96,166.83,168.22,58499129.0,172.204,173.4074,173.4074,44.9766,44.9766
2023-10-30,169.02,171.17,168.87,170.29,51130955.0,171.3662,173.1772,173.1772,46.2935,46.2935
2023-10-31,169.35,170.9,167.9,170.77,44846017.0,170.7321,173.1299,173.1299,46.5959,46.5959
2023-11-01,171.0,174.23,170.12,173.97,56934906.0,170.5463,173.2706,173.2706,48.5662,48.5662
2023-11-02,175.52,177.78,175.46,177.57,77334752.0,170.756,173.5441,173.5441,50.6561,50.6561
2023-11-03,174.24,176.82,173.35,176.65,79829246.0,171.1307,173.7604,173.7604,50.125,50.125
2023-11-06,176.38,179.43,176.21,179.23,63841310.0,171.7498,173.9782,173.9782,51.5778,51.5778
2023-11-07,179.18,182.44,178.97,181.82,70529966.0,172.5827,174.3527,174.3527,52.9807,52.9807
2023-11-08,182.35,183.45,181.59,182.89,49340282.0,173.7544,174.7197,174.7197,53.5481,53.5481
2023-11-09,182.96,184.12,181.81,182.41,53763540.0,175.2969,175.0178,175.0178,53.254,53.254
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,177.1275,175.3816,175.3816,55.4544,55.4544
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,178.5933,175.622,175.622,54.4636,54.4636
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,180.274,175.9914,175.9914,55.7934,55.7934
2023-11-15,187.845,189.5,187.78,188.01,53790499.0,181.6934,176.3274,176.3274,56.076,56.076
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,182.9242,176.6949,176.6949,56.9143,56.9143
2023-11-17,190.25,190.38,188.57,189.69,50941404.0,184.2445,177.1355,177.1355,56.9012,56.9012
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,185.4835,177.6514,177.6514,57.7698,57.7698
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,186.3844,178.1974,178.1974,57.2282,57.2282
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,187.2457,178.8222,178.8222,57.564,57.564
2023-11-24,190.87,190.9,189.25,189.97,24048344.0,188.0214,179.4087,179.4087,56.6562,56.6562
2023-11-27,189.92,190.67,188.9,189.79,40552609.0,188.3587,180.0907,180.0907,56.534,56.534
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,188.916,180.7922,180.7922,56.8558,56.8558
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,189.1081,181.4351,181.4351,56.1396,56.1396
2023-11-30,189.84,190.32,188.19,189.95,48794366.0,189.3011,182.1942,182.1942,56.4548,56.4548
2023-12-01,190.33,191.56,189.23,191.24,45704823.0,189.4534,183.172,183.172,57.1535,57.1535
2023-12-04,189.98,190.05,187.4511,189.43,43389519.0,189.4275,184.0249,184.0249,55.87,55.87
2023-12-05,190.21,194.4,190.18,193.42,66628398.0,189.6235,184.9543,184.9543,57.9921,57.9921
2023-12-06,194.45,194.76,192.11,192.32,40895115.0,189.7907,185.8208,185.8208,57.2181,57.2181
2023-12-07,193.63,195.0,193.59,194.27,47477655.0,190.0853,186.6378,186.6378,58.2266,58.2266
2023-12-08,194.2,195.99,193.67,195.71,53406358.0,190.6565,187.3689,187.3689,58.9557,58.9557
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,190.9938,188.036,188.036,57.1669,57.1669
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,191.4227,188.6613,188.6613,57.9541,57.9541
2023-12-13,195.09,198.0,194.85,197.96,70404183.0,192.2775,189.3131,189.3131,59.565,59.565
2023-12-14,198.02,199.62,196.16,198.11,66831572.0,193.0896,189.9283,189.9283,59.6378,59.6378
2023-12-15,197.53,198.3999,197.0,197.57,128538401.0,193.7195,190.541,190.541,59.2458,59.2458
2023-12-18,196.09,196.63,194.39,195.89,55751861.0,194.3623,190.9188,190.9188,58.0349,58.0349
2023-12-19,196.16,196.95,195.89,196.94,40233138.0,194.7126,191.402,191.402,58.5749,58.5749
2023-12-20,196.9,197.68,194.83,194.83,52242815.0,194.9624,191.6962,191.6962,57.0691,57.0691
2023-12-21,196.1,197.08,193.5,194.68,46482549.0,195.0032,191.9617,191.9617,56.9629,56.9629
2023-12-22,195.18,195.41,192.97,193.6,37149570.0,194.7932,192.1165,192.1165,56.1944,56.1944
2023-12-26,193.61,193.89,192.83,193.05,28919310.0,194.7803,192.2503,192.2503,55.8032,55.8032
2023-12-27,192.49,193.5,191.09,193.15,47899806.0,194.6251,192.3179,192.3179,55.8602,55.8602
2023-12-28,194.14,194.66,193.17,193.58,34049898.0,194.1892,192.435,192.435,56.1086,56.1086
2023-12-29,193.9,194.4,191.725,192.53,42672148.0,193.6339,192.4835,192.4835,55.3327,55.3327
